Resource Pool name,Resource Pool path,Status,# VMs total,# VMs,# vCPUs,CPU limit,CPU overheadLimit,CPU reservation,CPU level,CPU shares,CPU expandableReservation,CPU maxUsage,CPU overallUsage,CPU reservationUsed,CPU reservationUsedForVm,CPU unreservedForPool,CPU unreservedForVm,Mem Configured,Mem limit,Mem overheadLimit,Mem reservation,Mem level,Mem shares,Mem expandableReservation,Mem maxUsage,Mem overallUsage,Mem reservationUsed,Mem reservationUsedForVm,Mem unreservedForPool,Mem unreservedForVm,QS overallCpuDemand,QS overallCpuUsage,QS staticCpuEntitlement,QS distributedCpuEntitlement,QS balloonedMemory,QS compressedMemory,QS consumedOverheadMemory,QS distributedMemoryEntitlement,QS guestMemoryUsage,QS hostMemoryUsage,QS overheadMemory,QS privateMemory,QS sharedMemory,QS staticMemoryEntitlement,QS swappedMemory,Object ID,VI SDK Server,VI SDK UUID
Resources,USFQ-PRODUCCION,green,129,88,757,298416,,298416,normal,4000,True,298416,93012,,,,,1364468,3060480,,3060480,,163840,,,,,,,,,,,,,,,,,,,,,,,,,
Resources,USFQ-SANDBOX,green,129,12,757,92560,,92560,normal,4000,True,92560,14988,,,,,175104,630927,,630927,,163840,,,,,,,,,,,,,,,,,,,,,,,,,
Resources,USFQ-TEST,green,129,29,757,96898,,96898,normal,4000,True,96898,33051,,,,,391168,1532515,,1532515,,163840,,,,,,,,,,,,,,,,,,,,,,,,,
