VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-KOVM-CLC-01,poweredOff,False,FALSE,Hard disk 3,2002,6000C29b-c4bd-2e86-bd22-9b594ad90f7e,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_2-000128.vmdk,51210.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 3,2,2,noSharing,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_2-000128.vmdk,,,vm-1304:2002,,OK,521c28c2-222f-2513-b127-5dab629c474f,2025-12-23 02:06:17,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01,poweredOff,False,FALSE,Hard disk 4,2003,6000C29d-8c1c-57f5-b858-dd310f3f688b,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_3-000128.vmdk,51210.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 4,3,3,noSharing,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_3-000128.vmdk,,,vm-1304:2003,,OK,521c28c2-222f-2513-b127-5dab629c474f,2025-12-23 02:06:17,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01,poweredOff,False,FALSE,Hard disk 5,2004,6000C294-907c-8fcb-8ca6-4fa43b9e677d,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_4-000128.vmdk,51210.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 5,4,4,noSharing,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_4-000128.vmdk,,,vm-1304:2004,,OK,521c28c2-222f-2513-b127-5dab629c474f,2025-12-23 02:06:17,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C291-129b-442e-18af-90f469ac7f22,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01-000001.vmdk,40980.48,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01-000001.vmdk,,,vm-8031:2000," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",OK,52bf2b32-bf68-41f5-5100-225df275d702,2025-12-14 01:06:31,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,Hard disk 2,2001,6000C299-7cfe-7192-dde0-3976a1cbfab0,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01_1-000001.vmdk,40980.48,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 2,1,1,noSharing,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01_1-000001.vmdk,,,vm-8031:2001," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",OK,52bf2b32-bf68-41f5-5100-225df275d702,2025-12-14 01:06:31,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-ZSCALER-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C296-eb1d-5d9e-2915-bb9b6d085978,[FS1-P-ESX-VM-03] T-ZSCALER-01/T-ZSCALER-01.vmdk,65536.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,TRUE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-03] T-ZSCALER-01/T-ZSCALER-01.vmdk,,,vm-8415:2000,,OK,50061686-0090-a6a0-b934-5380cab6128b,2025-05-23 05:58:33,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-8415,4206633d-5408-df4f-640a-c55787267672,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-WORDPRESS-OL-02,poweredOn,False,FALSE,Hard disk 1,2000,6000C299-f131-920d-6fe6-fc1118a6139f,[FS1-P-ESX-VM-04] P-WORDPRESS-OL-02/P-WORDPRESS-OL-02-000001.vmdk,102410.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-04] P-WORDPRESS-OL-02/P-WORDPRESS-OL-02-000001.vmdk,,,vm-8076:2000,,OK,5034733e-11f1-b8f3-fc94-d39edc6e2697,2025-12-06 06:02:53,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 8 (64-bit),vm-8076,423414c0-d2fd-6610-0b97-5225cade89ec,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-THALES-TKN-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C292-6889-b99e-b0c1-e5b793d35257,[FS1-P-ESX-VM-04] T-THALES-TKN-01/T-THALES-TKN-01-000001.vmdk,102400.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-04] T-THALES-TKN-01/T-THALES-TKN-01-000001.vmdk,,,vm-9034:2000,,OK,500650da-53b8-5fc8-ed56-36aa6cbb5dd7,2025-05-22 13:46:30,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-9034,4206bee6-d678-1533-368a-c78371f0f883,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-PROXY-02,poweredOn,False,FALSE,Hard disk 1,2000,6000C29a-7884-2c94-a595-1e91c7a92097,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02-000001.vmdk,12298.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02-000001.vmdk,,,vm-527:2000,,OK,50341208-47f5-5baa-1c12-74480fc0692b,2025-12-15 15:41:35,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-527,42344a6d-e340-979d-d1b5-f8ba1d8e7c1f,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-PROXY-02,poweredOn,False,FALSE,Hard disk 2,2001,6000C29d-955b-6c1d-ea5c-c883440aa252,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02_1.vmdk,20480.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 2,1,1,noSharing,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02_1.vmdk,,,vm-527:2001,,OK,50341208-47f5-5baa-1c12-74480fc0692b,2025-12-15 15:41:35,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-527,42344a6d-e340-979d-d1b5-f8ba1d8e7c1f,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
