Name,Message,Message type,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-04.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-01.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-03.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,Host status is yellow,yellow,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-02.usfq.edu.ec,Host status is green,green,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
