Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-161,vSwitch0,161,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,Management Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VMotion,VMotion,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VM Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,Management Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3075,VM,3075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3072,VM,3072,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3071,VM,3071,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,V-PUBLIC-190,VM,190,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-CAMPUS-40,VM,40,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4085,VM,4085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
