VM,Powerstate,Template,SRM Placeholder,CPUs,Sockets,Cores p/s,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Numa Hotadd Exposed,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-BAN9-APP-05,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-IMP-DBF-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-MINEMELDPA-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-NG-01,poweredOn,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-PASEC-OLN-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-REDCAP-OLN-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-APP-01-CL,poweredOff,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-GITLAB-OLNX-01,poweredOn,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-GEOCENTRO-OLNX-01,poweredOn,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-IMP-MX-DBF-01,poweredOn,False,,12,12,12,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-GI-01,poweredOn,False,,8,8,1,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-FE-01,poweredOn,False,,8,8,2,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-HUBI-LNX-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-ADMP-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-RADIUS-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-APP-02,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
