Host,Datacenter,Cluster,Config status,Compliance Check State,in Maintenance Mode,in Quarantine Mode,vSAN Fault Domain Name,CPU Model,Speed,HT Available,HT Active,# CPU,Cores per CPU,# Cores,CPU usage %,# Memory,Memory Tiering Type,Memory usage %,Console,# NICs,# HBAs,# VMs total,# VMs,VMs per Core,# vCPUs,vCPUs per Core,vRAM,VM Used memory,VM Memory Swapped,VM Memory Ballooned,VMotion support,Storage VMotion support,Current EVC,Max EVC,Assigned License(s),ATS Heartbeat,ATS Locking,Current CPU power man. policy,Supported CPU power man.,Host Power Policy,ESX Version,Boot time,DNS Servers,DHCP,Domain,Domain List,DNS Search Order,NTP Server(s),NTPD running,Time Zone,Time Zone Name,GMT Offset,Vendor,Model,Serial number,Service tag,OEM specific string,BIOS Vendor,BIOS Version,BIOS Date,Certificate Issuer,Certificate Start Date,Certificate Expiry Date,Certificate Status,Certificate Subject,Object ID,AutoDeploy.MachineIdentity,Backup status,ClusterInvariantVMMId,Last backup,UUID,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,,,False,False,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,False,,2,,36,72.82,785059.84,noTiering,75.81,,6,3,,,1.11,,7.22,687616,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:23:14.724000+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FLM23290843,FLM23290843,Cisco,,,,,,,,,host-445,,,,,2c9ed25e-ea71-e711-2000-000000000002,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,,,False,False,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,False,,2,,36,36.34,784896.0,noTiering,59.39,,6,4,,,1.22,,7.69,631808,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:23:23.361999+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FLM23290A8A,FLM23290A8A,Cisco,,,,,,,,,host-1360,,,,,2c9ed25e-ea71-e711-2000-000000000004,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,,,False,False,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,False,,2,,36,10.08,784896.0,noTiering,5.71,,6,4,,,0.08,,0.72,40948,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:23:49.578000+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FCH230179D2,FCH230179D2,Cisco,,,,,,,,,host-522,,,,,2c9ed25e-ea71-e711-2000-000000000001,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,,,False,False,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,False,,2,,36,0.92,785059.84,noTiering,1.31,,6,3,,,0.03,,0.11,4096,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:26:05.644000+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FLM2329033A,FLM2329033A,Cisco,,,,,,,,,host-8096,,,,,2c9ed25e-ea71-e711-2000-000000000005,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,,,False,False,,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2195,False,,2,,24,0.22,327567.36,noTiering,1.23,,6,2,,,0.04,,0.5,24576,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-06-19T17:46:22.696999+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M4,FCH21247WVD,FCH21247WVD,Cisco1,,,,,,,,,host-8368,,,,,2c9ed25e-ea71-e711-4000-000000000003,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,,,False,False,,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2195,False,,2,,24,29.76,327567.36,noTiering,32.78,,6,2,,,0.46,,1.92,150528,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-06-25T07:51:19.740999+00:00,,,,,,ntp.usfq.edu.ec,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M4,FLM212102U3,FLM212102U3,Cisco1,,,,,,,,,host-7514,,,,,2c9ed25e-ea71-e711-4000-000000000002,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,,,False,False,,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,2300,False,,2,,24,35.35,785059.84,noTiering,25.65,,6,3,,,0.71,,3.25,241664,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:20:35.845999+00:00,,,,,,172.21.77.20,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FCH21477S39,FCH21477S39,Cisco,,,,,,,,,host-178,,,,,2c9ed25e-ea71-e711-5000-000000000001,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,,,True,False,,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2195,False,,2,,24,0.35,327567.36,noTiering,1.2,,6,2,,,,,,,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:18:32.463999+00:00,,,,,,172.21.77.20,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M4,FLM2204003T,FLM2204003T,Cisco1,,,,,,,,,host-4062,,,,,2c9ed25e-ea71-e711-5000-000000000003,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,,,False,False,,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,2300,False,,2,,24,26.8,785059.84,noTiering,18.51,,6,3,,,0.5,,2.25,149504,,,,True,,,,,,,Balanced,ACPI P-states,Balanced,8.0.3,2025-05-23T19:25:16.888999+00:00,,,,,,172.21.77.20,,UTC,UTC,,Cisco Systems Inc,UCSB-B200-M5,FCH241370G7,FCH241370G7,Cisco,,,,,,,,,host-137,,,,,2c9ed25e-ea71-e711-5000-000000000002,https://p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
