VM,Powerstate,Template,SRM Placeholder,Device Node,Connected,Starts Connected,Device Type,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
T-BAN-SSB-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
D-CUSTOM-02,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-BAN-APP-06,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
D-HUBI-LNX-02,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-BAN-BATCH-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-BAN-APP-02,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-BAN-APP-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-ORPHEUS-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-BAN-APP-03,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-WIN-ADM-01,,,,CD/DVD drive 1,False,True,[] /vmfs/volumes/63c1ef2a-c638a77a-76b6-0025b52b001c/SW_DVD9_Win_Pro_10_22H2.2_64BIT_English_Pro_Ent_EDU_N_MLF_X23-33951.ISO,,,,,,,,,,,,,,,
T-BAN-ETHOS-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-RESERVAS-C7-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-BAN-ESM-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-APP-REDCAP-OLN-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-HUBI-PYTHON-OLNX-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
