Host,Datacenter,Cluster,Network Device,Driver,Speed,Duplex,MAC,Switch,Uplink port,PCI,WakeOn,VI SDK Server,VI SDK UUID
t-esx-03.usfq.edu.ec,,,vmnic0,nenic,10000 Full,,00:25:b5:5b:00:08,,,0000:06:00.0,,,
t-esx-03.usfq.edu.ec,,,vmnic1,nenic,10000 Full,,00:25:b5:5a:00:08,,,0000:07:00.0,,,
t-esx-03.usfq.edu.ec,,,vmnic2,nenic,10000 Full,,00:25:b5:5b:00:07,,,0000:08:00.0,,,
t-esx-03.usfq.edu.ec,,,vmnic3,nenic,10000 Full,,00:25:b5:5a:00:07,,,0000:0e:00.0,,,
t-esx-03.usfq.edu.ec,,,vmnic4,nenic,10000 Full,,00:25:b5:5b:00:06,,,0000:0f:00.0,,,
t-esx-03.usfq.edu.ec,,,vmnic5,nenic,10000 Full,,00:25:b5:5a:00:06,,,0000:10:00.0,,,
t-esx-02.usfq.edu.ec,,,vmnic0,nenic,10000 Full,,00:25:b5:5a:00:04,,,0000:67:00.0,,,
t-esx-02.usfq.edu.ec,,,vmnic1,nenic,10000 Full,,00:25:b5:5b:00:03,,,0000:67:00.1,,,
t-esx-02.usfq.edu.ec,,,vmnic2,nenic,10000 Full,,00:25:b5:5a:00:03,,,0000:67:00.2,,,
t-esx-02.usfq.edu.ec,,,vmnic3,nenic,10000 Full,,00:25:b5:5b:00:05,,,0000:62:00.0,,,
t-esx-02.usfq.edu.ec,,,vmnic4,nenic,10000 Full,,00:25:b5:5a:00:05,,,0000:62:00.1,,,
t-esx-02.usfq.edu.ec,,,vmnic5,nenic,10000 Full,,00:25:b5:5b:00:04,,,0000:62:00.2,,,
