VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-WORDPRESS-OL-02,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-TERCEROS-65,USFQ-DVS,True,True,,assigned,,,,P-WORDPRESS-OL-02 Network adapter 1,,,5034733e-11f1-b8f3-fc94-d39edc6e2697,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 8 (64-bit),vm-8076,423414c0-d2fd-6610-0b97-5225cade89ec,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-THALES-TKN-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-THALES-TKN-01 Network adapter 1,,,500650da-53b8-5fc8-ed56-36aa6cbb5dd7,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-9034,4206bee6-d678-1533-368a-c78371f0f883,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-PROXY-02,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-74,USFQ-DVS,True,True,,assigned,,,,P-ZB-PROXY-02 Network adapter 1,,,50341208-47f5-5baa-1c12-74480fc0692b,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-527,42344a6d-e340-979d-d1b5-f8ba1d8e7c1f,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-PROXY-OL9-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-74,USFQ-DVS,True,True,,assigned,,,,P-ZB-PROXY-OL9-01 Network adapter 1,,,50065c39-093f-8db0-3199-acd64d4951a5,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-11263,420628e0-c64b-ea62-e3cc-994cbf15b70d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-NSS-02,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-PUBLIC-192,USFQ-DVS,False,True,,assigned,,,,P-NSS-02 Network adapter 1,,,5034aa2b-1197-3c11-388e-27ff34d8f64c,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 2.6.x Linux (64-bit),Oracle Linux 7 (64-bit),vm-8037,4234c5b7-cce9-39bd-49c0-c48b725c6288,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-NSS-02,poweredOn,False,FALSE,Network adapter 2,vim.vm.device.VirtualVmxnet3,V-SRV-75,USFQ-DVS,False,True,,assigned,,,,P-NSS-02 Network adapter 2,,,5034aa2b-1197-3c11-388e-27ff34d8f64c,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 2.6.x Linux (64-bit),Oracle Linux 7 (64-bit),vm-8037,4234c5b7-cce9-39bd-49c0-c48b725c6288,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-DB-GALERA-0L95-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-DB-GALERA-0L95-01 Network adapter 1,,,5006bb5f-0fcd-e6a2-3454-e63dc6f1ec4d,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8616,4206ddf0-7bc0-42de-0a36-b619ab941fd6,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-HUBI-PYTHON-OLNX-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-HUBI-JAIL-79,USFQ-DVS,True,True,,assigned,,,,P-HUBI-PYTHON-OLNX-01 Network adapter 1,,,5034e5c2-6ef5-62f7-9165-5df9e8425add,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-1323,423475c2-6231-63ea-61fc-de07f8acd46b,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-INFOREDESTI-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-ACCESS-77,USFQ-DVS,True,True,,assigned,,,,P-APP-INFOREDESTI-01 Network adapter 1,,,5006edce-bde2-6923-63e0-572cde33a6aa,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8110,42063c2f-cc64-78cc-6e78-ca4ddb6fdde7,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ARBITRAJE-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-TERCEROS-65,USFQ-DVS,True,True,,assigned,,,,P-ARBITRAJE-01 Network adapter 1,,,50342e44-7afe-f353-6fa9-b7b22c75a3bc,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 7 (64-bit),vm-8063,423415d5-b36f-5b03-fc23-4452b4fb995c,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
