VM,Powerstate,Template,SRM Placeholder,CPUs,Sockets,Cores p/s,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Numa Hotadd Exposed,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
S2-P-AD-DS-03,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ac580a35-397a-4642-b4bf-3f535cd14c44,,,
S2-P-RADFS4-01,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,e643c790-4e8f-4329-9ddb-6968629a3837,,,
S3-P-AD-DS-03,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,4e1a2886-a19f-4fd2-998a-a8e1ad79b173,,,
S3-P-AD-DS-04,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ab196ede-d535-4f48-828e-94b3a3d44970,,,
S3-P-AD-DS-UIO-01,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,310e728b-a3ad-4b60-8bb0-9266ce968481,,,
S3-P-AD-DS-UIO-02,Running,,,8,,,,,,,,,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,d9998e48-2f88-4828-9f18-866751a46600,,,
