sheet,column,non_empty_count,empty_count,fill_pct
vMultiPath,Path 3 state,71,0,100.00
vMultiPath,Path 4,70,1,98.59
vMultiPath,Path 4 state,70,1,98.59
vMultiPath,Path 5,64,7,90.14
vMultiPath,Path 5 state,64,7,90.14
vMultiPath,Path 6,64,7,90.14
vMultiPath,Path 6 state,64,7,90.14
vMultiPath,Path 7,64,7,90.14
vMultiPath,Path 7 state,64,7,90.14
vMultiPath,Path 8,64,7,90.14
vMultiPath,Path 8 state,64,7,90.14
vMultiPath,vStorage,0,71,0.00
vMultiPath,Queue depth,0,71,0.00
vMultiPath,Vendor,0,71,0.00
vMultiPath,Model,0,71,0.00
vMultiPath,Revision,0,71,0.00
vMultiPath,Level,0,71,0.00
vMultiPath,Serial #,0,71,0.00
vMultiPath,UUID,0,71,0.00
vMultiPath,Object ID,0,71,0.00
vMultiPath,VI SDK Server,0,71,0.00
vMultiPath,VI SDK UUID,0,71,0.00
vLicense,Name,11,0,100.00
vLicense,Key,11,0,100.00
vLicense,Labels,0,11,0.00
vLicense,Cost Unit,0,11,0.00
vLicense,Total,11,0,100.00
vLicense,Used,10,1,90.91
vLicense,Expiration Date,7,4,63.64
vLicense,Features,0,11,0.00
vLicense,VI SDK Server,0,11,0.00
vLicense,VI SDK UUID,0,11,0.00
vFileInfo,Friendly Path Name,0,0,0.00
vFileInfo,File Name,0,0,0.00
vFileInfo,File Type,0,0,0.00
vFileInfo,File Size in bytes,0,0,0.00
vFileInfo,Path,0,0,0.00
vFileInfo,Internal Sort Column,0,0,0.00
vFileInfo,VI SDK Server,0,0,0.00
vFileInfo,VI SDK UUID,0,0,0.00
vHealth,Name,9,0,100.00
vHealth,Message,9,0,100.00
vHealth,Message type,9,0,100.00
vHealth,VI SDK Server,9,0,100.00
vHealth,VI SDK UUID,9,0,100.00
vMetaData,RVTools major version,1,0,100.00
vMetaData,RVTools version,1,0,100.00
vMetaData,xlsx creation datetime,1,0,100.00
vMetaData,Server,1,0,100.00
