VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-IMP-GW-WAF-02,poweredOn,False,,,Network adapter 3,V-SRV-WAF-73,,True,True,00:50:56:b4:66:96,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-IMP-GW-WAF-02,poweredOn,False,,,Network adapter 4,V-SRV-WAF-73,,True,True,00:50:56:b4:44:a2,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-MONITOREO-UCS,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:fb:94,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ZB-PROXY-01,poweredOn,False,,,Network adapter 1,V-SRV-74,,True,True,00:50:56:b4:4f:db,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-BAN9-APP-04,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:ee:68,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-APP-ORPHEUS-01,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:e7:31,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,,Network adapter 1,VM Network,,True,True,00:50:56:86:a6:19,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-APP-LIB-01,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:2e:c7,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-QUALYS-02,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:86:1d:6a,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-QUALYS-02,poweredOn,False,,,Network adapter 2,V-PUBLIC-192,,True,True,00:50:56:86:6b:a0,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,False,00:50:56:86:61:0d,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:ba:93,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ACR-CLOUD-04,poweredOn,False,,,Network adapter 1,VM Network,,True,True,00:50:56:86:e2:9a,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-THALES-CTM-01,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:74:0d,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-NESSUS-01,poweredOn,False,,,Network adapter 1,V-INFRA-210,,True,True,00:50:56:B4:3E:65,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ENGINE-GIZ-01,poweredOn,False,,,Network adapter 1,V-SRV-66,,True,True,00:50:56:86:44:5e,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ZB-GRAFANA-01,poweredOn,False,,,Network adapter 1,V-SRV-74,,True,True,00:50:56:b4:42:d2,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
