VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-NSS-02,poweredOn,False,,Hard disk 1,,,,30730.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-NSS-02/P-NSS-02-000001.vmdk,,,,,,,,,,,,,,,,,
T-DB-GALERA-0L95-01,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] T-DB-GALERA-0L95-01/T-DB-GALERA-0L95-01.vmdk,,,,,,,,,,,,,,,,,
P-HUBI-PYTHON-OLNX-01,poweredOn,False,,Hard disk 1,,,,112650.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-08] P-HUBI-PYTHON-OLNX-01/P-HUBI-PYTHON-OLNX-01-000003.vmdk,,,,,,,,,,,,,,,,,
P-APP-INFOREDESTI-01,poweredOn,False,,Hard disk 1,,,,40960.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-APP-INFOREDESTI-01/P-APP-INFOREDESTI-01-000005.vmdk,,,,,,,,,,,,,,,,,
P-ARBITRAJE-01,poweredOn,False,,Hard disk 1,,,,81940.48,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-ARBITRAJE-01/P-ARBITRAJE-01-000002.vmdk,,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-01,poweredOn,False,,Hard disk 1,,,,112650.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-WORDPRESS-OL-01/P-WORDPRESS-OL-01-000005.vmdk,,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-01,poweredOn,False,,Hard disk 2,,,,102410.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-03] P-WORDPRESS-OL-01/P-WORDPRESS-OL-01_1-000005.vmdk,,,,,,,,,,,,,,,,,
P-IMP-GW-WAF-02,poweredOn,False,,Hard disk 1,,,,163840.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-IMP-GW-WAF-02/P-IMP-GW-WAF-02.vmdk,,,,,,,,,,,,,,,,,
P-MONITOREO-UCS,poweredOn,False,,Hard disk 1,,,,87040.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-MONITOREO-UCS/P-MONITOREO-UCS.vmdk,,,,,,,,,,,,,,,,,
P-ZB-PROXY-01,poweredOn,False,,Hard disk 1,,,,16394.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-ZB-PROXY-01/P-ZB-PROXY-01-000001.vmdk,,,,,,,,,,,,,,,,,
