VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
T-THALES-TKN-01,poweredOn,False,,,,,,,,,,,,,,8,,24576,,,,,,,,,,,172.21.64.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Ubuntu Linux (64-bit),,,,,,4206bee6-d678-1533-368a-c78371f0f883,,,,500650da-53b8-5fc8-ed56-36aa6cbb5dd7
P-ZB-PROXY-02,poweredOn,False,,,,,,,,,,,,,,2,,2048,,,,,,,,,,,172.21.74.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42344a6d-e340-979d-d1b5-f8ba1d8e7c1f,,,,50341208-47f5-5baa-1c12-74480fc0692b
P-ZB-PROXY-OL9-01,poweredOn,False,,,,,,,,,,,,,,3,,8192,,,,,,,,,,,172.21.74.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,420628e0-c64b-ea62-e3cc-994cbf15b70d,,,,50065c39-093f-8db0-3199-acd64d4951a5
P-NSS-02,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.75.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 7 (64-bit),,,,,,4234c5b7-cce9-39bd-49c0-c48b725c6288,,,,5034aa2b-1197-3c11-388e-27ff34d8f64c
T-DB-GALERA-0L95-01,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.64.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,4206ddf0-7bc0-42de-0a36-b619ab941fd6,,,,5006bb5f-0fcd-e6a2-3454-e63dc6f1ec4d
P-HUBI-PYTHON-OLNX-01,poweredOn,False,,,,,,,,,,,,,,4,,8192,,,,,,,,,,,172.21.79.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,423475c2-6231-63ea-61fc-de07f8acd46b,,,,5034e5c2-6ef5-62f7-9165-5df9e8425add
P-APP-INFOREDESTI-01,poweredOn,False,,,,,,,,,,,,,,2,,3072,,,,,,,,,,,172.21.77.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,42063c2f-cc64-78cc-6e78-ca4ddb6fdde7,,,,5006edce-bde2-6923-63e0-572cde33a6aa
P-ARBITRAJE-01,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.65.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 7 (64-bit),,,,,,423415d5-b36f-5b03-fc23-4452b4fb995c,,,,50342e44-7afe-f353-6fa9-b7b22c75a3bc
P-WORDPRESS-OL-01,poweredOn,False,,,,,,,,,,,,,,4,,8192,,,,,,,,,,,172.21.65.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42344140-da18-e992-b982-9d5079604230,,,,5034b711-1de6-b8e6-16b7-eeb5264af375
P-IMP-GW-WAF-02,poweredOn,False,,,,,,,,,,,,,,16,,32768,,,,,,,,,,,172.21.73.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 7 (64-bit),,,,,,4234bf1d-a3d6-6fdf-bf02-13c029de2aef,,,,50349212-063a-37bb-f5d0-65d66d75a8ab
